"casenum","date","weight_","hhcode","pid","s1_2q3","s1_2q4","s1_2q5","s1_2q6","s1_2q7"
85,"6/04/99",1,110811,1,1,1.79769313486232e+308,1998,6,1.79769313486232e+308
86,"6/04/99",1,110911,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
87,"6/04/99",1,111011,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
88,"6/04/99",1,111111,2,5,1,1997,7,3
89,"6/04/99",1,111111,3,1,1.79769313486232e+308,1998,2,1.79769313486232e+308
90,"6/04/99",1,111211,1,1,1.79769313486232e+308,1998,6,1.79769313486232e+308
34,"7/17/99",1,120111,3,2,3,1995,5,4
51,"7/17/99",1,120141,3,2,5,1992,8,4
52,"7/17/99",1,120141,4,2,5,1995,6,4
59,"7/17/99",1,120151,2,5,1,1995,5,3
60,"7/17/99",1,120151,3,5,1,1995,5,3
61,"7/17/99",1,120151,4,2,5,1994,6,4
62,"7/17/99",1,120151,5,5,1,1995,5,3
63,"7/17/99",1,120152,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
35,"7/17/99",1,120211,2,5,7,1992,1.79769313486232e+308,3
36,"7/17/99",1,120211,3,5,1,1992,1.79769313486232e+308,3
37,"7/17/99",1,120212,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
53,"7/17/99",1,120241,6,5,2,1996,4,3
54,"7/17/99",1,120241,7,5,2,1996,4,3
55,"7/17/99",1,120241,8,5,2,1996,4,3
56,"7/17/99",1,120242,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"7/17/99",1,120251,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
65,"7/17/99",1,120351,4,1,1.79769313486232e+308,1995,8,1.79769313486232e+308
38,"7/17/99",1,120411,5,2,5,1994,2,4
57,"7/17/99",1,120441,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
66,"7/17/99",1,120459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
39,"7/17/99",1,120511,4,5,1,1998,4,1
40,"7/17/99",1,120511,6,2,3,1997,7,4
42,"7/17/99",1,120512,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
58,"7/17/99",1,120541,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
41,"7/17/99",1,120611,8,6,2,1995,8,4
43,"7/17/99",1,120711,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
44,"7/17/99",1,120811,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
47,"7/17/99",1,120911,4,1,1.79769313486232e+308,1993,2,1.79769313486232e+308
45,"7/17/99",1,120911,7,2,5,1992,1.79769313486232e+308,4
46,"7/17/99",1,120911,8,1,1.79769313486232e+308,1994,6,1.79769313486232e+308
48,"7/17/99",1,121011,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
49,"7/17/99",1,121111,6,2,3,1995,8,4
50,"7/17/99",1,121211,5,2,3,1993,7,4
15,"7/23/99",1,130141,3,2,5,1996,8,4
31,"7/23/99",1,130151,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1,"7/23/99",1,130211,3,2,3,1994,6,4
16,"7/23/99",1,130241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
32,"7/23/99",1,130251,6,2,5,1998,7,4
2,"7/23/99",1,130311,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
33,"7/23/99",1,130351,4,5,1,1997,8,3
34,"7/23/99",1,130351,5,5,1,1997,8,3
35,"7/23/99",1,130351,6,5,1,1997,8,3
36,"7/23/99",1,130351,7,5,1,1997,8,3
37,"7/23/99",1,130351,8,5,1,1997,8,3
38,"7/23/99",1,130351,9,5,1,1997,8,3
34,"7/23/99",1,130351,10,5,1,1997,8,3
35,"7/23/99",1,130351,11,5,1,1997,8,3
36,"7/23/99",1,130351,12,5,1,1997,8,3
37,"7/23/99",1,130351,13,5,1,1997,8,3
38,"7/23/99",1,130351,14,2,1,1998,8,4
39,"7/23/99",1,130352,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
40,"7/23/99",1,130353,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
41,"7/23/99",1,130354,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
42,"7/23/99",1,130355,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
3,"7/23/99",1,130411,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
17,"7/23/99",1,130441,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
43,"7/23/99",1,130459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
18,"7/23/99",1,130541,1,1,1.79769313486232e+308,1994,6,1.79769313486232e+308
19,"7/23/99",1,130541,3,6,5,1993,7,4
20,"7/23/99",1,130541,4,5,1,1999,1,3
21,"7/23/99",1,130541,7,6,5,1993,7,4
22,"7/23/99",1,130541,8,5,1,1999,1,4
23,"7/23/99",1,130541,9,5,1,1999,1,4
24,"7/23/99",1,130541,10,6,5,1993,7,4
30,"7/23/99",1,130542,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
4,"7/23/99",1,130611,1,1,1.79769313486232e+308,1994,8,1.79769313486232e+308
5,"7/23/99",1,130611,3,2,4,1997,2,4
6,"7/23/99",1,130711,4,5,1,1997,3,3
7,"7/23/99",1,130711,5,2,3,1998,4,4
8,"7/23/99",1,130712,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
9,"7/23/99",1,130811,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
10,"7/23/99",1,130911,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
11,"7/23/99",1,131011,3,2,3,1994,1,4
12,"7/23/99",1,131011,4,2,3,1996,6,4
13,"7/23/99",1,131111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
14,"7/23/99",1,131211,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
40,"6/14/99",1,210131,2,4,3,1996,1,4
41,"6/14/99",1,210131,3,6,3,1996,1,4
55,"6/14/99",1,210141,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"6/14/99",1,210151,7,6,2,1998,1.79769313486232e+308,4
65,"6/14/99",1,210151,8,6,2,1998,1.79769313486232e+308,4
42,"6/14/99",1,210231,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
56,"6/14/99",1,210241,1,1,1.79769313486232e+308,1992,1.79769313486232e+308,1.79769313486232e+308
57,"6/14/99",1,210241,3,2,1,1994,1.79769313486232e+308,4
58,"6/14/99",1,210241,4,2,3,1998,1.79769313486232e+308,4
66,"6/14/99",1,210251,5,2,3,1998,1.79769313486232e+308,4
43,"6/14/99",1,210331,6,5,2,1995,2,3
44,"6/14/99",1,210332,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
59,"6/14/99",1,210341,4,2,3,1996,1.79769313486232e+308,4
67,"6/14/99",1,210351,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
45,"6/14/99",1,210411,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
60,"6/14/99",1,210441,4,2,5,1996,2,4
68,"6/14/99",1,210459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
46,"6/14/99",1,210511,8,2,3,1995,1.79769313486232e+308,4
61,"6/14/99",1,210541,6,6,3,1997,8,4
62,"6/14/99",1,210541,7,6,3,1997,7,4
63,"6/14/99",1,210541,8,6,3,1997,9,4
47,"6/14/99",1,210611,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
48,"6/14/99",1,210731,3,2,2,1996,2,4
49,"6/14/99",1,210811,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
50,"6/14/99",1,210931,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
51,"6/14/99",1,211031,3,2,3,1993,2,4
52,"6/14/99",1,211031,4,2,3,1998,1,4
53,"6/14/99",1,211131,4,2,5,1995,1,4
54,"6/14/99",1,211231,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
34,"7/30/99",1,220111,1,1,1.79769313486232e+308,1996,1.79769313486232e+308,1.79769313486232e+308
60,"8/01/99",1,220141,2,1,1.79769313486232e+308,1994,1.79769313486232e+308,1.79769313486232e+308
61,"8/01/99",1,220141,5,1,1.79769313486232e+308,1994,1.79769313486232e+308,1.79769313486232e+308
66,"8/01/99",1,220151,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
35,"8/01/99",1,220211,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
62,"8/01/99",1,220241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
67,"8/01/99",1,220251,2,1,1.79769313486232e+308,1993,6,1.79769313486232e+308
36,"8/01/99",1,220311,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
63,"8/01/99",1,220341,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
68,"8/01/99",1,220351,4,2,2,1996,1.79769313486232e+308,4
37,"8/01/99",1,220411,1,1,1.79769313486232e+308,1996,1,1.79769313486232e+308
38,"8/01/99",1,220411,3,5,1,1998,4,4
39,"8/01/99",1,220411,4,5,1,1998,4,4
40,"8/01/99",1,220411,5,5,1,1998,4,4
41,"8/01/99",1,220411,6,5,1,1998,4,4
42,"8/01/99",1,220411,7,5,1,1998,4,4
43,"8/01/99",1,220412,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"8/01/99",1,220441,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
69,"8/01/99",1,220459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
44,"8/01/99",1,220511,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
65,"8/01/99",1,220541,3,2,1,1998,1,4
45,"8/01/99",1,220611,3,1,1.79769313486232e+308,1995,11,1.79769313486232e+308
46,"8/01/99",1,220611,4,1,1.79769313486232e+308,1996,11,1.79769313486232e+308
47,"8/01/99",1,220711,1,1,1.79769313486232e+308,1995,1.79769313486232e+308,1.79769313486232e+308
48,"8/01/99",1,220711,3,2,2,1993,1.79769313486232e+308,4
49,"8/01/99",1,220711,4,2,3,1996,5,4
50,"8/01/99",1,220711,7,1,1.79769313486232e+308,1993,1.79769313486232e+308,1.79769313486232e+308
51,"8/01/99",1,220911,4,1,1.79769313486232e+308,1997,5,1.79769313486232e+308
52,"8/01/99",1,221011,2,2,3,1996,5,4
53,"8/01/99",1,221111,3,5,1,1995,1.79769313486232e+308,4
54,"8/01/99",1,221111,4,6,5,1996,1.79769313486232e+308,4
55,"8/01/99",1,221111,6,5,1,1995,1.79769313486232e+308,4
56,"8/01/99",1,221111,7,5,1,1995,1.79769313486232e+308,4
57,"8/01/99",1,221112,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
58,"8/01/99",1,221211,1,1,1.79769313486232e+308,1994,1.79769313486232e+308,1.79769313486232e+308
59,"8/01/99",1,221211,3,6,2,1997,1.79769313486232e+308,4
211,"6/16/99",1,230111,1,1,1.79769313486232e+308,1996,1.79769313486232e+308,1.79769313486232e+308
227,"6/16/99",1,230141,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
232,"6/16/99",1,230151,3,5,1,1995,1.79769313486232e+308,4
233,"6/16/99",1,230151,4,2,3,1993,1.79769313486232e+308,4
234,"6/16/99",1,230152,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
212,"6/16/99",1,230211,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
228,"6/16/99",1,230241,3,5,5,1993,1.79769313486232e+308,4
229,"6/16/99",1,230241,5,1,1.79769313486232e+308,1993,10,1.79769313486232e+308
235,"6/16/99",1,230251,8,6,3,1993,1.79769313486232e+308,4
236,"6/16/99",1,230251,9,6,3,1993,1.79769313486232e+308,4
213,"6/16/99",1,230311,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
237,"6/16/99",1,230351,1,5,1,1998,12,3
238,"6/16/99",1,230352,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
214,"6/16/99",1,230411,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230,"6/16/99",1,230441,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
239,"6/16/99",1,230459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
215,"6/16/99",1,230511,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
231,"6/16/99",1,230541,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
216,"6/16/99",1,230611,3,5,1,1998,1,1
217,"6/16/99",1,230611,5,1,1.79769313486232e+308,1993,1.79769313486232e+308,1.79769313486232e+308
218,"6/16/99",1,230612,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
219,"6/16/99",1,230711,3,2,2,1992,1,4
220,"6/16/99",1,230811,6,2,2,1996,3,4
221,"6/16/99",1,231011,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
222,"6/16/99",1,231111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
223,"6/16/99",1,231211,2,6,1,1997,1.79769313486232e+308,3
224,"6/16/99",1,231211,3,2,3,1994,1.79769313486232e+308,2
225,"6/16/99",1,231211,4,2,3,1995,1.79769313486232e+308,2
1.79769313486232e+308,"8/14/99",1,231211,5,5,1,1997,1.79769313486232e+308,3
226,"6/16/99",1,231212,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
84,"9/05/99",1,240119,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
94,"9/07/99",1,240149,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
99,"9/07/99",1,240159,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
85,"9/07/99",1,240219,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
95,"9/07/99",1,240249,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
100,"9/07/99",1,240259,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
86,"9/07/99",1,240319,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
96,"9/07/99",1,240349,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
101,"9/07/99",1,240359,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
87,"9/07/99",1,240419,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
97,"9/07/99",1,240449,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
102,"9/07/99",1,240459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
88,"9/07/99",1,240519,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
98,"9/07/99",1,240549,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
103,"9/07/99",1,240559,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
89,"9/07/99",1,240619,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
90,"9/07/99",1,240719,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
91,"9/07/99",1,240819,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
92,"9/07/99",1,240919,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
93,"9/07/99",1,241019,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
274,"6/19/99",1,310111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
289,"6/24/99",1,310141,7,1,1.79769313486232e+308,1997,7,1.79769313486232e+308
294,"6/24/99",1,310151,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
275,"6/24/99",1,310211,1,1,1.79769313486232e+308,1997,2,1.79769313486232e+308
290,"6/24/99",1,310241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
295,"6/24/99",1,310251,4,2,5,1994,8,4
296,"6/24/99",1,310251,10,6,5,1994,8,4
276,"6/24/99",1,310311,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
297,"6/24/99",1,310351,6,6,6,1995,2,4
291,"6/24/99",1,310441,1,1,1.79769313486232e+308,1998,12,1.79769313486232e+308
292,"6/24/99",1,310441,3,2,5,1998,4,4
298,"6/24/99",1,310459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
277,"6/24/99",1,310511,1,1,1.79769313486232e+308,1996,10,1.79769313486232e+308
278,"6/24/99",1,310511,8,2,3,1998,1,4
111,"9/10/99",1,310541,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
279,"6/24/99",1,310611,3,2,6,1998,2,4
293,"6/24/99",1,310641,4,1,1.79769313486232e+308,1993,1.79769313486232e+308,1.79769313486232e+308
280,"6/24/99",1,310711,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
281,"6/24/99",1,310811,2,2,3,1998,9,4
282,"6/24/99",1,310911,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
283,"6/24/99",1,311011,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
284,"6/24/99",1,311111,1,1,1.79769313486232e+308,1997,8,1.79769313486232e+308
285,"6/24/99",1,311111,2,2,3,1995,5,4
286,"6/24/99",1,311111,3,2,3,1997,2,4
287,"6/24/99",1,311211,3,6,2,1998,7,4
288,"6/24/99",1,311411,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1,"7/07/99",1,320111,3,1,1.79769313486232e+308,1996,2,1.79769313486232e+308
2,"7/11/99",1,320111,4,1,1.79769313486232e+308,1997,6,1.79769313486232e+308
25,"7/11/99",1,320141,3,5,1,1997,1,2
26,"7/11/99",1,320141,4,2,3,1994,6,4
27,"7/11/99",1,320142,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
37,"7/11/99",1,320151,3,5,2,1994,1.79769313486232e+308,4
38,"7/11/99",1,320151,4,5,2,1998,1.79769313486232e+308,4
39,"7/11/99",1,320151,5,5,2,1998,1.79769313486232e+308,4
40,"7/11/99",1,320151,6,5,2,1994,1.79769313486232e+308,4
41,"7/11/99",1,320151,7,5,2,1994,1.79769313486232e+308,4
42,"7/11/99",1,320151,8,5,2,1994,1.79769313486232e+308,4
43,"7/11/99",1,320151,10,5,2,1994,1.79769313486232e+308,4
44,"7/11/99",1,320152,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
