"casenum","date","weight_","hhcode","pid","s1_3q3","s1_3q4","s1_3q5","s1_3q6"
82,"6/04/99",1,110811,8,1,1998,8,1.79769313486232e+308
83,"6/04/99",1,110911,3,1,1993,3,1.79769313486232e+308
84,"6/04/99",1,111011,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
85,"6/04/99",1,111111,4,2,1993,2,5
86,"6/04/99",1,111111,5,1,1994,12,1.79769313486232e+308
87,"6/04/99",1,111211,11,2,1995,7,5
88,"6/04/99",1,111211,12,2,1998,12,3
89,"6/04/99",1,111211,13,2,1998,12,2
90,"6/04/99",1,111211,14,1,1998,9,1.79769313486232e+308
45,"7/17/99",1,120111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
66,"7/17/99",1,120141,7,3,1994,11,5
73,"7/17/99",1,120151,6,2,1994,8,3
74,"7/17/99",1,120151,7,1,1996,7,1.79769313486232e+308
75,"7/17/99",1,120152,4,3,1996,2,1
46,"7/17/99",1,120211,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
47,"7/17/99",1,120212,3,1,1994,8,1.79769313486232e+308
48,"7/17/99",1,120212,4,1,1997,9,1.79769313486232e+308
67,"7/17/99",1,120241,10,1,1996,12,1.79769313486232e+308
68,"7/17/99",1,120242,4,1,1995,8,1.79769313486232e+308
76,"7/17/99",1,120251,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
77,"7/17/99",1,120351,5,1,1995,2,1.79769313486232e+308
78,"7/17/99",1,120351,6,1,1997,2,1.79769313486232e+308
79,"7/17/99",1,120351,7,2,1996,8,5
80,"7/17/99",1,120351,8,1,1997,3,1.79769313486232e+308
49,"7/17/99",1,120411,6,2,1996,2,3
50,"7/17/99",1,120411,7,1,1998,7,1.79769313486232e+308
69,"7/17/99",1,120441,3,2,1992,5,1
70,"7/17/99",1,120441,4,1,1994,8,1.79769313486232e+308
71,"7/17/99",1,120441,5,1,1998,9,1.79769313486232e+308
81,"7/17/99",1,120459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
51,"7/17/99",1,120511,9,2,1994,7,3
52,"7/17/99",1,120511,10,1,1997,8,1.79769313486232e+308
54,"7/17/99",1,120512,2,2,1996,1.79769313486232e+308,3
55,"7/17/99",1,120512,3,1,1997,2,1.79769313486232e+308
72,"7/17/99",1,120541,4,1,1992,9,1.79769313486232e+308
53,"7/17/99",1,120611,9,1,1996,3,1.79769313486232e+308
56,"7/17/99",1,120711,5,1,1996,6,1.79769313486232e+308
57,"7/17/99",1,120711,6,1,1999,1,1.79769313486232e+308
58,"7/17/99",1,120811,7,2,1994,8,3
59,"7/17/99",1,120811,8,1,1997,4,1.79769313486232e+308
60,"7/17/99",1,120911,9,2,1992,3,5
61,"7/17/99",1,120911,10,1,1993,11,1.79769313486232e+308
62,"7/17/99",1,120911,11,1,1998,6,1.79769313486232e+308
63,"7/17/99",1,121011,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
64,"7/17/99",1,121111,7,2,1998,4,3
65,"7/17/99",1,121211,9,2,1998,5,2
18,"7/23/99",1,130141,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
24,"7/23/99",1,130151,4,1,1998,2,1.79769313486232e+308
1,"7/23/99",1,130211,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
19,"7/23/99",1,130241,5,1,1993,5,1.79769313486232e+308
25,"7/23/99",1,130251,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
2,"7/23/99",1,130311,5,1,1994,4,1.79769313486232e+308
26,"7/23/99",1,130351,15,1,1996,12,1.79769313486232e+308
27,"7/23/99",1,130352,5,1,1995,8,1.79769313486232e+308
28,"7/23/99",1,130353,3,1,1994,10,1.79769313486232e+308
29,"7/23/99",1,130353,4,1,1998,9,1.79769313486232e+308
30,"7/23/99",1,130354,2,2,1999,4,3
31,"7/23/99",1,130355,3,1,1992,11,1.79769313486232e+308
32,"7/23/99",1,130355,4,1,1994,10,1.79769313486232e+308
3,"7/23/99",1,130411,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
20,"7/23/99",1,130441,5,1,1993,1,1.79769313486232e+308
33,"7/23/99",1,130459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
21,"7/23/99",1,130541,11,2,1996,3,5
22,"7/23/99",1,130541,12,1,1997,3,1.79769313486232e+308
23,"7/23/99",1,130542,4,1,1995,10,1.79769313486232e+308
4,"7/23/99",1,130611,5,3,1995,6,2
5,"7/23/99",1,130611,6,2,1998,2,5
6,"7/23/99",1,130711,7,2,1992,2,3
7,"7/23/99",1,130711,8,1,1993,2,1.79769313486232e+308
8,"7/23/99",1,130711,9,1,1997,4,1.79769313486232e+308
9,"7/23/99",1,130712,2,2,1992,3,5
10,"7/23/99",1,130712,3,1,1993,2,1.79769313486232e+308
11,"7/23/99",1,130712,4,1,1999,4,1.79769313486232e+308
12,"7/23/99",1,130811,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
13,"7/23/99",1,130911,4,2,1998,8,3
14,"7/23/99",1,131011,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
15,"7/23/99",1,131111,4,1,1995,6,1.79769313486232e+308
16,"7/23/99",1,131111,5,3,1992,8,5
17,"7/23/99",1,131211,4,1,1993,3,1.79769313486232e+308
38,"6/14/99",1,210131,5,2,1996,4,3
39,"6/14/99",1,210131,6,1,1998,5,1.79769313486232e+308
54,"6/14/99",1,210141,4,1,1995,1,1.79769313486232e+308
66,"6/14/99",1,210151,9,3,1994,1.79769313486232e+308,5
67,"6/14/99",1,210151,10,3,1997,1.79769313486232e+308,5
1.79769313486232e+308,".",1.79769313486232e+308,210151,11,6,1999,1.79769313486232e+308,1.79769313486232e+308
40,"6/14/99",1,210231,6,1,1994,1,1.79769313486232e+308
55,"6/14/99",1,210241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1.79769313486232e+308,"8/18/99",1,210251,12,1,1995,3,1.79769313486232e+308
68,"6/14/99",1,210251,13,7,1997,11,1
41,"6/14/99",1,210331,9,1,1994,1,1.79769313486232e+308
42,"6/14/99",1,210331,10,1,1995,3,1.79769313486232e+308
43,"6/14/99",1,210332,2,2,1994,1.79769313486232e+308,3
56,"6/14/99",1,210341,8,2,1996,1.79769313486232e+308,3
57,"6/14/99",1,210341,9,1,1993,1.79769313486232e+308,1.79769313486232e+308
58,"6/14/99",1,210341,10,1,1995,1.79769313486232e+308,1.79769313486232e+308
59,"6/14/99",1,210341,11,1,1998,11,1.79769313486232e+308
69,"6/14/99",1,210351,8,2,1996,10,2
44,"6/14/99",1,210411,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
60,"6/14/99",1,210441,9,1,1994,5,1.79769313486232e+308
61,"6/14/99",1,210441,10,1,1994,7,1.79769313486232e+308
70,"6/14/99",1,210459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
45,"6/14/99",1,210511,9,1,1997,1,1.79769313486232e+308
46,"6/14/99",1,210511,10,1,1998,1,1.79769313486232e+308
62,"6/14/99",1,210541,9,1,1992,8,7
63,"6/14/99",1,210541,10,7,1998,1.79769313486232e+308,3
64,"6/14/99",1,210541,11,7,1998,1.79769313486232e+308,3
65,"6/14/99",1,210541,12,7,1998,1.79769313486232e+308,3
47,"6/14/99",1,210611,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
48,"6/14/99",1,210731,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
49,"6/14/99",1,210811,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
50,"6/14/99",1,210931,5,7,1998,4,1
51,"6/14/99",1,211031,9,7,1998,4,1
52,"6/14/99",1,211131,6,2,1998,3,5
53,"6/14/99",1,211231,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
48,"7/30/99",1,220111,4,2,1998,3,3
66,"8/01/99",1,220141,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
74,"8/01/99",1,220151,7,1,1994,1,1.79769313486232e+308
75,"8/01/99",1,220151,8,1,1997,6,1.79769313486232e+308
49,"8/01/99",1,220211,4,1,1993,1,1.79769313486232e+308
50,"8/01/99",1,220211,5,1,1996,10,1.79769313486232e+308
67,"8/01/99",1,220241,6,2,1997,11,5
68,"8/01/99",1,220241,7,1,1998,10,1.79769313486232e+308
76,"8/01/99",1,220251,4,2,1993,10,3
77,"8/01/99",1,220251,5,1,1995,1,1.79769313486232e+308
78,"8/01/99",1,220251,6,7,1993,6,1
79,"8/01/99",1,220251,7,7,1993,6,1
51,"8/01/99",1,220311,4,1,1995,1,1.79769313486232e+308
69,"8/01/99",1,220341,3,1,1995,1,1.79769313486232e+308
70,"8/01/99",1,220341,4,1,1999,1,1.79769313486232e+308
80,"8/01/99",1,220351,7,2,1995,1.79769313486232e+308,3
81,"8/01/99",1,220351,8,1,1996,1,1.79769313486232e+308
52,"8/01/99",1,220411,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
53,"8/01/99",1,220412,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
71,"8/01/99",1,220441,5,1,1993,1,1.79769313486232e+308
72,"8/01/99",1,220441,6,1,1999,1,1.79769313486232e+308
82,"8/01/99",1,220459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
54,"8/01/99",1,220511,3,2,1993,1.79769313486232e+308,1.79769313486232e+308
55,"8/01/99",1,220511,4,1,1994,1,1.79769313486232e+308
56,"8/01/99",1,220511,5,1,1998,1,1.79769313486232e+308
73,"8/01/99",1,220541,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
57,"8/01/99",1,220611,7,1,1996,5,1.79769313486232e+308
58,"8/01/99",1,220611,8,1,1998,10,1.79769313486232e+308
59,"8/01/99",1,220711,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
60,"8/01/99",1,220911,5,1,1997,4,1.79769313486232e+308
61,"8/01/99",1,221011,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
62,"8/01/99",1,221111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
63,"8/01/99",1,221112,4,1,1993,1,1.79769313486232e+308
64,"8/01/99",1,221112,5,1,1998,1,1.79769313486232e+308
65,"8/01/99",1,221211,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
238,"6/16/99",1,230111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
256,"6/16/99",1,230141,3,1,1992,1,1.79769313486232e+308
257,"6/16/99",1,230141,4,1,1994,1,1.79769313486232e+308
262,"6/16/99",1,230151,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
263,"6/16/99",1,230152,2,2,1995,1,5
264,"6/16/99",1,230152,3,1,1998,7,1.79769313486232e+308
239,"6/16/99",1,230211,3,1,1993,1.79769313486232e+308,1.79769313486232e+308
258,"6/16/99",1,230241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
265,"6/16/99",1,230251,10,6,1999,2,3
266,"6/16/99",1,230251,11,6,1999,1,5
240,"6/16/99",1,230311,5,1,1995,1.79769313486232e+308,1.79769313486232e+308
267,"6/16/99",1,230351,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
268,"6/16/99",1,230352,2,2,1994,1.79769313486232e+308,3
269,"6/16/99",1,230352,3,1,1996,1.79769313486232e+308,1.79769313486232e+308
241,"6/16/99",1,230411,4,1,1996,9,1.79769313486232e+308
259,"6/16/99",1,230441,7,1,1995,1.79769313486232e+308,1.79769313486232e+308
260,"6/16/99",1,230441,8,1,1997,1,1.79769313486232e+308
270,"6/16/99",1,230459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
242,"6/16/99",1,230511,6,1,1994,10,1.79769313486232e+308
243,"6/16/99",1,230511,7,7,1999,1,1
244,"6/16/99",1,230511,8,7,1999,1,1
261,"6/16/99",1,230541,3,1,1995,10,1.79769313486232e+308
245,"6/16/99",1,230611,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
246,"6/16/99",1,230612,2,2,1998,1.79769313486232e+308,2
247,"6/16/99",1,230711,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
248,"6/16/99",1,230811,10,2,1995,3,3
249,"6/16/99",1,230811,11,1,1997,1,1.79769313486232e+308
250,"6/16/99",1,231011,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
251,"6/16/99",1,231111,5,1,1995,10,1.79769313486232e+308
252,"6/16/99",1,231211,6,2,1993,1.79769313486232e+308,2
253,"6/16/99",1,231211,7,1,1996,1,1.79769313486232e+308
254,"6/16/99",1,231211,8,1,1998,10,1.79769313486232e+308
255,"6/16/99",1,231212,2,7,1997,1.79769313486232e+308,1
84,"9/05/99",1,240119,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
94,"9/07/99",1,240149,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
99,"9/07/99",1,240159,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
85,"9/07/99",1,240219,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
95,"9/07/99",1,240249,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
100,"9/07/99",1,240259,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
86,"9/07/99",1,240319,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
96,"9/07/99",1,240349,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
101,"9/07/99",1,240359,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
87,"9/07/99",1,240419,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
97,"9/07/99",1,240449,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
102,"9/07/99",1,240459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
88,"9/07/99",1,240519,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
98,"9/07/99",1,240549,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
103,"9/07/99",1,240559,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
89,"9/07/99",1,240619,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
90,"9/07/99",1,240719,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
91,"9/07/99",1,240819,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
92,"9/07/99",1,240919,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
93,"9/07/99",1,241019,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
279,"6/19/99",1,310111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
308,"6/24/99",1,310141,8,1,1996,2,1.79769313486232e+308
309,"6/24/99",1,310141,9,1,1998,11,1.79769313486232e+308
313,"6/24/99",1,310151,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
280,"6/24/99",1,310211,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
310,"6/24/99",1,310241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
314,"6/24/99",1,310251,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
281,"6/24/99",1,310311,2,3,1995,1,1
282,"6/24/99",1,310311,3,3,1995,1,1
283,"6/24/99",1,310311,4,3,1995,1,1
284,"6/24/99",1,310311,5,3,1995,1,1
285,"6/24/99",1,310311,6,3,1995,1,1
315,"6/24/99",1,310351,7,2,1995,1,5
316,"6/24/99",1,310351,8,1,1997,9,1.79769313486232e+308
311,"6/24/99",1,310441,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
317,"6/24/99",1,310459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
286,"6/24/99",1,310511,5,3,1996,10,1
287,"6/24/99",1,310511,6,3,1996,10,1
288,"6/24/99",1,310511,7,3,1996,10,1
289,"6/24/99",1,310511,9,3,1996,10,1
290,"6/24/99",1,310511,10,3,1996,10,1
291,"6/24/99",1,310511,11,3,1996,10,1
292,"6/24/99",1,310511,12,3,1996,10,1
87,"9/10/99",1,310541,6,1,1998,11,1.79769313486232e+308
293,"6/24/99",1,310611,5,2,1998,4,6
312,"6/24/99",1,310641,5,7,1998,11,3
294,"6/24/99",1,310711,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
295,"6/24/99",1,310811,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
296,"6/24/99",1,310911,6,1,1998,2,1.79769313486232e+308
297,"6/24/99",1,311011,3,1,1994,1,1.79769313486232e+308
298,"6/24/99",1,311011,4,1,1997,1,1.79769313486232e+308
299,"6/24/99",1,311111,6,7,1997,8,1
300,"6/24/99",1,311111,7,7,1997,8,1
301,"6/24/99",1,311111,8,7,1997,8,1
302,"6/24/99",1,311111,9,7,1997,8,1
303,"6/24/99",1,311111,10,7,1997,8,1
304,"6/24/99",1,311111,11,7,1997,8,1
305,"6/24/99",1,311111,12,7,1997,8,1
306,"6/24/99",1,311211,7,2,1998,2,5
307,"6/24/99",1,311411,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
1,"7/07/99",1,320111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
23,"7/11/99",1,320141,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
24,"7/11/99",1,320142,2,2,1997,4,5
25,"7/11/99",1,320142,3,1,1997,4,1.79769313486232e+308
26,"7/11/99",1,320142,4,1,1997,4,1.79769313486232e+308
41,"7/11/99",1,320151,11,1,1997,12,1.79769313486232e+308
42,"7/11/99",1,320152,5,1,1993,2,1.79769313486232e+308
43,"7/11/99",1,320152,6,1,1994,11,1.79769313486232e+308
44,"7/11/99",1,320153,2,2,1997,1,5
45,"7/11/99",1,320153,3,1,1998,11,1.79769313486232e+308
46,"7/11/99",1,320154,2,2,1998,5,3
47,"7/11/99",1,320154,3,6,1998,7,2
2,"7/11/99",1,320211,6,4,1994,1.79769313486232e+308,2
27,"7/11/99",1,320241,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
48,"7/11/99",1,320251,14,1,1993,4,1.79769313486232e+308
49,"7/12/99",1,320251,15,1,1992,6,1.79769313486232e+308
50,"7/12/99",1,320251,16,1,1998,10,1.79769313486232e+308
3,"7/11/99",1,320311,9,2,1996,2,3
28,"7/11/99",1,320341,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
4,"7/11/99",1,320411,9,1,1994,3,1.79769313486232e+308
5,"7/11/99",1,320411,10,1,1997,10,1.79769313486232e+308
29,"7/11/99",1,320441,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
30,"7/11/99",1,320442,2,2,1993,1,3
31,"7/11/99",1,320442,3,1,1994,4,1.79769313486232e+308
32,"7/11/99",1,320442,4,1,1996,1,1.79769313486232e+308
33,"7/11/99",1,320442,5,1,1999,3,1.79769313486232e+308
34,"7/11/99",1,320443,2,2,1998,3,3
51,"7/12/99",1,320459,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
6,"7/11/99",1,320511,5,1,1994,3,1.79769313486232e+308
35,"7/11/99",1,320541,5,6,1998,1,5
7,"7/11/99",1,320611,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
36,"7/11/99",1,320641,7,2,1992,3,5
37,"7/11/99",1,320641,8,1,1993,1,1.79769313486232e+308
38,"7/11/99",1,320641,9,1,1995,5,1.79769313486232e+308
39,"7/11/99",1,320641,10,1,1998,3,1.79769313486232e+308
40,"7/11/99",1,320641,11,2,1996,8,5
8,"7/11/99",1,320711,6,3,1996,4,3
9,"7/11/99",1,320711,7,3,1996,4,3
10,"7/11/99",1,321011,6,1,1993,4,1.79769313486232e+308
11,"7/11/99",1,321011,7,1,1997,5,1.79769313486232e+308
12,"7/11/99",1,321111,6,1,1996,4,1.79769313486232e+308
13,"7/11/99",1,321211,8,1,1996,2,1.79769313486232e+308
14,"7/11/99",1,321212,2,2,1995,2,5
15,"7/11/99",1,321212,3,1,1998,9,1.79769313486232e+308
16,"7/11/99",1,321212,4,3,1999,1,3
17,"7/11/99",1,321311,8,2,1993,4,3
18,"7/11/99",1,321311,9,1,1994,1,1.79769313486232e+308
19,"7/11/99",1,321311,10,1,1998,8,1.79769313486232e+308
20,"7/11/99",1,321411,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
21,"7/11/99",1,321412,2,2,1996,6,3
22,"7/11/99",1,321412,3,1,1998,4,1.79769313486232e+308
1,"8/13/99",1,330111,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
25,"8/13/99",1,330141,5,1,1994,10,1.79769313486232e+308
26,"8/13/99",1,330141,6,1,1996,2,1.79769313486232e+308
27,"8/13/99",1,330141,7,1,1999,4,1.79769313486232e+308
40,"8/13/99",1,330151,8,2,1997,2,3
2,"8/13/99",1,330211,8,1,1999,5,1.79769313486232e+308
3,"8/13/99",1,330211,9,1,1995,5,1.79769313486232e+308
4,"8/13/99",1,330211,10,1,1997,5,1.79769313486232e+308
28,"8/13/99",1,330241,5,2,1997,8,3
29,"8/13/99",1,330241,6,1,1999,3,1.79769313486232e+308
41,"8/13/99",1,330251,10,6,1999,3,3
30,"8/13/99",1,330341,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
5,"8/13/99",1,330411,4,2,1994,2,3
6,"8/13/99",1,330411,5,3,1996,5,1.79769313486232e+308
7,"8/13/99",1,330411,6,3,1999,5,1.79769313486232e+308
