"casenum","date","weight_","hhcode","othersid","othersde","s7_4q2","s7_4q3","s7_4q4"
135,"6/05/99",1,110411,5,"Egg (4 Numbers)",65,780,125
136,"6/05/99",1,110411,6,"Other agri product (Kg)",1.79769313486232e+308,1250,200
184,"6/05/99",1,110441,2,"Fruit (Kg)",1.79769313486232e+308,420,1.79769313486232e+308
185,"6/05/99",1,110441,3,"Other forest product",1.79769313486232e+308,150,1.79769313486232e+308
186,"6/05/99",1,110441,5,"Egg (4 Numbers)",35,420,1.79769313486232e+308
187,"6/05/99",1,110441,6,"Other agri product (Kg)",1.79769313486232e+308,150,25
212,"6/05/99",1,110459,2,"Fruit (Kg)",1.79769313486232e+308,5500,1.79769313486232e+308
213,"6/05/99",1,110459,3,"Other forest product",60,4000,1.79769313486232e+308
214,"6/05/99",1,110459,5,"Egg (4 Numbers)",20,240,1.79769313486232e+308
215,"6/05/99",1,110459,6,"Other agri product (Kg)",1.79769313486232e+308,1000,200
137,"6/05/99",1,110511,2,"Fruit (Kg)",1.79769313486232e+308,1200,1.79769313486232e+308
138,"6/05/99",1,110511,3,"Other forest product",1.79769313486232e+308,3000,1.79769313486232e+308
139,"6/05/99",1,110511,4,"Milk (Litre)",547.5,8216,1200
140,"6/05/99",1,110511,5,"Egg (4 Numbers)",60,720,120
188,"6/05/99",1,110541,1,"Tress (number)",2,700,1.79769313486232e+308
189,"6/05/99",1,110541,2,"Fruit (Kg)",1.79769313486232e+308,1600,1.79769313486232e+308
190,"6/05/99",1,110541,5,"Egg (4 Numbers)",2,24,1.79769313486232e+308
191,"6/05/99",1,110541,6,"Other agri product (Kg)",1.79769313486232e+308,1200,400
192,"6/05/99",1,110542,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
141,"6/05/99",1,110611,1,"Tress (number)",2,1500,1.79769313486232e+308
142,"6/05/99",1,110611,2,"Fruit (Kg)",1.79769313486232e+308,4500,1.79769313486232e+308
143,"6/05/99",1,110611,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
144,"6/05/99",1,110611,4,"Milk (Litre)",1475,22860,1.79769313486232e+308
145,"6/05/99",1,110611,5,"Egg (4 Numbers)",45,540,160
146,"6/05/99",1,110611,6,"Other agri product (Kg)",1.79769313486232e+308,1800,150
147,"6/05/99",1,110612,2,"Fruit (Kg)",1.79769313486232e+308,3070,1.79769313486232e+308
148,"6/05/99",1,110612,3,"Other forest product",1.79769313486232e+308,3500,1.79769313486232e+308
149,"6/05/99",1,110612,5,"Egg (4 Numbers)",50,600,75
150,"6/05/99",1,110612,6,"Other agri product (Kg)",1.79769313486232e+308,2000,300
151,"6/05/99",1,110711,2,"Fruit (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
152,"6/05/99",1,110711,5,"Egg (4 Numbers)",85,1020,150
153,"6/05/99",1,110711,6,"Other agri product (Kg)",1.79769313486232e+308,1250,125
154,"6/05/99",1,110811,2,"Fruit (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
155,"6/05/99",1,110811,3,"Other forest product",1.79769313486232e+308,1200,1.79769313486232e+308
156,"6/05/99",1,110811,4,"Milk (Litre)",570,7980,4640
157,"6/05/99",1,110811,5,"Egg (4 Numbers)",35,420,60
158,"6/05/99",1,110811,6,"Other agri product (Kg)",1.79769313486232e+308,2500,1.79769313486232e+308
159,"6/05/99",1,110911,6,"Other agri product (Kg)",1.79769313486232e+308,1100,120
160,"6/05/99",1,111011,2,"Fruit (Kg)",1.79769313486232e+308,250,1.79769313486232e+308
161,"6/05/99",1,111011,3,"Other forest product",40,600,1.79769313486232e+308
162,"6/05/99",1,111011,4,"Milk (Litre)",225,3150,1500
163,"6/05/99",1,111011,5,"Egg (4 Numbers)",80,800,1.79769313486232e+308
164,"6/05/99",1,111011,6,"Other agri product (Kg)",1.79769313486232e+308,5650,1.79769313486232e+308
165,"6/05/99",1,111111,2,"Fruit (Kg)",1.79769313486232e+308,300,1.79769313486232e+308
166,"6/05/99",1,111111,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
167,"6/05/99",1,111111,5,"Egg (4 Numbers)",15,180,1.79769313486232e+308
168,"6/05/99",1,111111,6,"Other agri product (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
169,"6/05/99",1,111211,2,"Fruit (Kg)",1.79769313486232e+308,3250,1.79769313486232e+308
170,"6/05/99",1,111211,3,"Other forest product",54,1350,1.79769313486232e+308
171,"6/05/99",1,111211,4,"Milk (Litre)",480,6720,1200
172,"6/05/99",1,111211,5,"Egg (4 Numbers)",35,420,80
173,"6/05/99",1,111211,6,"Other agri product (Kg)",1.79769313486232e+308,8800,700
56,"7/22/99",1,120111,1,"Tress (number)",1,110,1.79769313486232e+308
57,"7/22/99",1,120111,3,"Other forest product",1.79769313486232e+308,600,1.79769313486232e+308
58,"7/22/99",1,120111,4,"Milk (Litre)",150,2250,1.79769313486232e+308
59,"7/22/99",1,120111,5,"Egg (4 Numbers)",24,288,25
60,"7/22/99",1,120111,6,"Other agri product (Kg)",1.79769313486232e+308,1350,150
100,"7/22/99",1,120141,2,"Fruit (Kg)",1.79769313486232e+308,100,1.79769313486232e+308
101,"7/22/99",1,120141,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
102,"7/22/99",1,120141,4,"Milk (Litre)",180,2880,1000
103,"7/22/99",1,120141,6,"Other agri product (Kg)",1.79769313486232e+308,2000,350
123,"7/22/99",1,120151,5,"Egg (4 Numbers)",30,360,50
124,"7/22/99",1,120152,2,"Fruit (Kg)",1.79769313486232e+308,6900,1.79769313486232e+308
125,"7/22/99",1,120152,3,"Other forest product",1.79769313486232e+308,2000,1.79769313486232e+308
126,"7/22/99",1,120152,4,"Milk (Litre)",630,9450,1500
127,"7/22/99",1,120152,5,"Egg (4 Numbers)",58,696,1.79769313486232e+308
128,"7/22/99",1,120152,6,"Other agri product (Kg)",1.79769313486232e+308,3200,420
61,"7/22/99",1,120211,1,"Tress (number)",2,4200,1.79769313486232e+308
62,"7/22/99",1,120211,3,"Other forest product",20,500,1.79769313486232e+308
63,"7/22/99",1,120212,2,"Fruit (Kg)",1.79769313486232e+308,300,1.79769313486232e+308
64,"7/22/99",1,120212,3,"Other forest product",30,750,1.79769313486232e+308
65,"7/22/99",1,120212,5,"Egg (4 Numbers)",65,780,75
66,"7/22/99",1,120212,6,"Other agri product (Kg)",1.79769313486232e+308,1000,175
104,"7/22/99",1,120241,1,"Tress (number)",1,400,1.79769313486232e+308
105,"7/22/99",1,120241,2,"Fruit (Kg)",1.79769313486232e+308,400,1.79769313486232e+308
106,"7/22/99",1,120241,3,"Other forest product",26,1300,1.79769313486232e+308
107,"7/22/99",1,120241,4,"Milk (Litre)",240,3600,800
108,"7/22/99",1,120241,5,"Egg (4 Numbers)",5,60,1.79769313486232e+308
109,"7/22/99",1,120241,6,"Other agri product (Kg)",1.79769313486232e+308,2000,300
110,"7/22/99",1,120242,2,"Fruit (Kg)",1.79769313486232e+308,1500,1.79769313486232e+308
111,"7/22/99",1,120242,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
112,"7/22/99",1,120242,4,"Milk (Litre)",1050,16800,1000
113,"7/22/99",1,120242,5,"Egg (4 Numbers)",45,540,1.79769313486232e+308
114,"7/22/99",1,120242,6,"Other agri product (Kg)",1.79769313486232e+308,1600,250
129,"7/22/99",1,120251,2,"Fruit (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
130,"7/22/99",1,120251,3,"Other forest product",40,1000,1.79769313486232e+308
131,"7/22/99",1,120251,4,"Milk (Litre)",31,496,150
132,"7/22/99",1,120251,5,"Egg (4 Numbers)",65,780,125
133,"7/22/99",1,120251,6,"Other agri product (Kg)",1.79769313486232e+308,3000,350
134,"7/22/99",1,120351,5,"Egg (4 Numbers)",15,180,1.79769313486232e+308
135,"7/22/99",1,120351,6,"Other agri product (Kg)",1.79769313486232e+308,750,150
67,"7/22/99",1,120411,3,"Other forest product",15,300,1.79769313486232e+308
68,"7/22/99",1,120411,4,"Milk (Litre)",525,7875,1500
69,"7/22/99",1,120411,6,"Other agri product (Kg)",1.79769313486232e+308,1100,150
115,"7/22/99",1,120441,3,"Other forest product",50,1000,1.79769313486232e+308
116,"7/22/99",1,120441,4,"Milk (Litre)",45,720,150
117,"7/22/99",1,120441,5,"Egg (4 Numbers)",15,180,1.79769313486232e+308
118,"7/22/99",1,120441,6,"Other agri product (Kg)",1.79769313486232e+308,1000,200
136,"7/22/99",1,120459,2,"Fruit (Kg)",1.79769313486232e+308,950,1.79769313486232e+308
137,"7/22/99",1,120459,3,"Other forest product",1.79769313486232e+308,1200,1.79769313486232e+308
138,"7/22/99",1,120459,4,"Milk (Litre)",135,2160,500
139,"7/22/99",1,120459,6,"Other agri product (Kg)",1.79769313486232e+308,2500,350
70,"7/22/99",1,120511,2,"Fruit (Kg)",1.79769313486232e+308,650,1.79769313486232e+308
71,"7/22/99",1,120511,5,"Egg (4 Numbers)",20,240,1.79769313486232e+308
72,"7/22/99",1,120511,6,"Other agri product (Kg)",1.79769313486232e+308,850,120
79,"7/22/99",1,120512,6,"Other agri product (Kg)",1.79769313486232e+308,500,50
119,"7/22/99",1,120541,3,"Other forest product",12,300,1.79769313486232e+308
120,"7/22/99",1,120541,4,"Milk (Litre)",360,4680,2000
121,"7/22/99",1,120541,5,"Egg (4 Numbers)",10,120,1.79769313486232e+308
122,"7/22/99",1,120541,6,"Other agri product (Kg)",1.79769313486232e+308,3500,500
73,"7/22/99",1,120611,1,"Tress (number)",3,18100,1.79769313486232e+308
74,"7/22/99",1,120611,2,"Fruit (Kg)",1.79769313486232e+308,3300,1.79769313486232e+308
75,"7/22/99",1,120611,3,"Fruit (Kg)",135,2700,1.79769313486232e+308
76,"7/22/99",1,120611,4,"Milk (Litre)",960,15360,1.79769313486232e+308
77,"7/22/99",1,120611,5,"Egg (4 Numbers)",40,480,1.79769313486232e+308
78,"7/22/99",1,120611,6,"Other agri product (Kg)",1.79769313486232e+308,5000,500
80,"7/22/99",1,120711,2,"Fruit (Kg)",1.79769313486232e+308,950,1.79769313486232e+308
81,"7/22/99",1,120711,3,"Other forest product",1.79769313486232e+308,1000,1.79769313486232e+308
82,"7/22/99",1,120711,4,"Milk (Litre)",720,10800,3600
83,"7/22/99",1,120711,5,"Egg (4 Numbers)",30,360,1.79769313486232e+308
84,"7/22/99",1,120811,3,"Other forest product",20,500,1.79769313486232e+308
85,"7/22/99",1,120811,4,"Milk (Litre)",315,4725,500
86,"7/22/99",1,120811,5,"Egg (4 Numbers)",50,600,1.79769313486232e+308
87,"7/22/99",1,120811,6,"Other agri product (Kg)",1.79769313486232e+308,1200,1.79769313486232e+308
88,"7/22/99",1,120911,2,"Fruit (Kg)",1.79769313486232e+308,1350,1.79769313486232e+308
89,"7/22/99",1,120911,3,"Other forest product",1.79769313486232e+308,500,1.79769313486232e+308
90,"7/22/99",1,120911,4,"Milk (Litre)",30,450,1.79769313486232e+308
91,"7/22/99",1,120911,5,"Egg (4 Numbers)",5,60,1.79769313486232e+308
92,"7/22/99",1,120911,6,"Other agri product (Kg)",1.79769313486232e+308,300,100
93,"7/22/99",1,121011,3,"Other forest product",12,360,1.79769313486232e+308
94,"7/22/99",1,121011,5,"Egg (4 Numbers)",42,504,1.79769313486232e+308
95,"7/22/99",1,121011,6,"Other agri product (Kg)",1.79769313486232e+308,2000,200
96,"7/22/99",1,121111,2,"Fruit (Kg)",1.79769313486232e+308,700,1.79769313486232e+308
97,"7/22/99",1,121111,3,"Other forest product",100,2500,1.79769313486232e+308
98,"7/22/99",1,121211,2,"Fruit (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
99,"7/22/99",1,121211,4,"Milk (Litre)",60,960,150
38,"7/27/99",1,130141,2,"Fruit (Kg)",1.79769313486232e+308,1750,1.79769313486232e+308
39,"7/27/99",1,130141,3,"Other forest product",1.79769313486232e+308,250,1.79769313486232e+308
40,"7/27/99",1,130141,5,"Egg (4 Numbers)",15,180,1.79769313486232e+308
41,"7/27/99",1,130141,6,"Other agri product (Kg)",1.79769313486232e+308,1750,200
53,"7/27/99",1,130151,2,"Fruit (Kg)",1.79769313486232e+308,600,1.79769313486232e+308
54,"7/27/99",1,130151,3,"Other forest product",1.79769313486232e+308,300,1.79769313486232e+308
55,"7/27/99",1,130151,5,"Egg (4 Numbers)",7,84,10
56,"7/27/99",1,130151,6,"Other agri product (Kg)",1.79769313486232e+308,2000,200
1,"7/27/99",1,130211,2,"Fruit (Kg)",1.79769313486232e+308,100,1.79769313486232e+308
2,"7/27/99",1,130211,3,"Other forest product",50,1500,1.79769313486232e+308
3,"7/27/99",1,130211,6,"Other agri product (Kg)",1.79769313486232e+308,2000,300
42,"7/27/99",1,130241,4,"Milk (Litre)",1095,16425,2000
43,"7/27/99",1,130241,5,"Egg (4 Numbers)",60,720,1.79769313486232e+308
57,"7/27/99",1,130251,2,"Fruit (Kg)",1.79769313486232e+308,3800,1.79769313486232e+308
58,"7/27/99",1,130251,3,"Other forest product",72,1800,1.79769313486232e+308
59,"7/27/99",1,130251,4,"Milk (Litre)",630,9450,500
60,"7/27/99",1,130251,5,"Egg (4 Numbers)",85,1020,1.79769313486232e+308
61,"7/27/99",1,130251,6,"Other agri product (Kg)",1.79769313486232e+308,1650,225
4,"7/27/99",1,130311,2,"Fruit (Kg)",1.79769313486232e+308,1000,1.79769313486232e+308
5,"7/27/99",1,130311,3,"Other forest product",25,750,1.79769313486232e+308
6,"7/27/99",1,130311,5,"Egg (4 Numbers)",25,300,1.79769313486232e+308
7,"7/27/99",1,130311,6,"Other agri product (Kg)",1.79769313486232e+308,700,150
62,"7/27/99",1,130351,3,"Other forest product",80,2000,1.79769313486232e+308
63,"7/27/99",1,130351,4,"Milk (Litre)",900,17100,1000
64,"7/27/99",1,130351,5,"Egg (4 Numbers)",35,420,1.79769313486232e+308
65,"7/27/99",1,130351,6,"Other agri product (Kg)",1.79769313486232e+308,3000,450
66,"7/27/99",1,130352,2,"Fruit (Kg)",1.79769313486232e+308,550,1.79769313486232e+308
67,"7/27/99",1,130352,3,"Other forest product",60,1500,1.79769313486232e+308
68,"7/27/99",1,130352,5,"Egg (4 Numbers)",55,660,75
69,"7/27/99",1,130352,6,"Other agri product (Kg)",1.79769313486232e+308,5000,400
70,"7/27/99",1,130353,2,"Fruit (Kg)",1.79769313486232e+308,1000,1.79769313486232e+308
71,"7/27/99",1,130353,3,"Other forest product",30,750,1.79769313486232e+308
72,"7/27/99",1,130353,5,"Egg (4 Numbers)",200,2400,150
73,"7/27/99",1,130354,2,"Fruit (Kg)",1.79769313486232e+308,100,1.79769313486232e+308
74,"7/27/99",1,130354,3,"Other forest product",1.79769313486232e+308,1000,1.79769313486232e+308
75,"7/27/99",1,130354,5,"Egg (4 Numbers)",50,600,1.79769313486232e+308
76,"7/27/99",1,130354,6,"Other agri product (Kg)",1.79769313486232e+308,3000,300
77,"7/27/99",1,130355,1,"Tress (number)",2,800,1.79769313486232e+308
78,"7/27/99",1,130355,2,"Fruit (Kg)",1.79769313486232e+308,900,1.79769313486232e+308
79,"7/27/99",1,130355,3,"Other forest product",28,700,1.79769313486232e+308
80,"7/27/99",1,130355,4,"Milk (Litre)",1680,25200,500
81,"7/27/99",1,130355,5,"Egg (4 Numbers)",15,180,15
82,"7/27/99",1,130355,6,"Other agri product (Kg)",1.79769313486232e+308,700,150
8,"7/27/99",1,130411,2,"Fruit (Kg)",1.79769313486232e+308,150,1.79769313486232e+308
9,"7/27/99",1,130411,3,"Other forest product",30,1500,1.79769313486232e+308
10,"7/27/99",1,130411,4,"Milk (Litre)",120,1920,1.79769313486232e+308
11,"7/27/99",1,130411,6,"Other agri product (Kg)",1.79769313486232e+308,800,175
44,"7/27/99",1,130441,2,"Fruit (Kg)",1.79769313486232e+308,2000,1.79769313486232e+308
45,"7/27/99",1,130441,3,"Other forest product",45,1800,1.79769313486232e+308
46,"7/27/99",1,130441,4,"Milk (Litre)",540,8100,750
47,"7/27/99",1,130441,5,"Egg (4 Numbers)",35,420,20
83,"7/27/99",1,130459,2,"Fruit (Kg)",1.79769313486232e+308,600,1.79769313486232e+308
84,"7/27/99",1,130459,3,"Other forest product",1.79769313486232e+308,750,1.79769313486232e+308
85,"7/27/99",1,130459,4,"Egg (4 Numbers)",360,5760,700
86,"7/27/99",1,130459,6,"Other agri product (Kg)",45,540,20
48,"7/27/99",1,130541,2,"Fruit (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
49,"7/27/99",1,130541,3,"Other forest product",1.79769313486232e+308,750,1.79769313486232e+308
50,"7/27/99",1,130541,5,"Egg (4 Numbers)",18,216,1.79769313486232e+308
51,"7/27/99",1,130541,6,"Other agri product (Kg)",1.79769313486232e+308,2100,300
52,"7/27/99",1,130542,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
12,"7/27/99",1,130611,2,"Fruit (Kg)",1.79769313486232e+308,300,1.79769313486232e+308
13,"7/27/99",1,130611,3,"Other forest product",40,1200,1.79769313486232e+308
14,"7/27/99",1,130611,5,"Egg (4 Numbers)",10,120,1.79769313486232e+308
15,"7/27/99",1,130611,6,"Other agri product (Kg)",1.79769313486232e+308,800,175
16,"7/27/99",1,130711,2,"Fruit (Kg)",1.79769313486232e+308,200,1.79769313486232e+308
17,"7/27/99",1,130711,3,"Other forest product",20,500,1.79769313486232e+308
18,"7/27/99",1,130711,4,"Milk (Litre)",32,480,1.79769313486232e+308
19,"7/27/99",1,130711,6,"Other agri product (Kg)",1.79769313486232e+308,500,1.79769313486232e+308
20,"7/27/99",1,130712,5,"Egg (4 Numbers)",3,36,1.79769313486232e+308
21,"7/27/99",1,130811,2,"Fruit (Kg)",350,3500,1.79769313486232e+308
22,"7/27/99",1,130811,3,"Other forest product",180,4000,1.79769313486232e+308
23,"7/27/99",1,130811,5,"Egg (4 Numbers)",20,240,50
24,"7/27/99",1,130811,6,"Other agri product (Kg)",1.79769313486232e+308,4000,500
25,"7/27/99",1,130911,4,"Milk (Litre)",450,6750,500
26,"7/27/99",1,130911,5,"Egg (4 Numbers)",12,144,12
27,"7/27/99",1,130911,6,"Other agri product (Kg)",1.79769313486232e+308,225,25
28,"7/27/99",1,131011,2,"Fruit (Kg)",1.79769313486232e+308,375,1.79769313486232e+308
29,"7/27/99",1,131011,3,"Other forest product",50,1500,1.79769313486232e+308
30,"7/27/99",1,131011,4,"Milk (Litre)",225,3375,500
31,"7/27/99",1,131011,5,"Egg (4 Numbers)",18,216,1.79769313486232e+308
32,"7/27/99",1,131011,6,"Other agri product (Kg)",1.79769313486232e+308,1500,150
33,"7/27/99",1,131111,2,"Fruit (Kg)",1.79769313486232e+308,320,1.79769313486232e+308
34,"7/27/99",1,131111,5,"Egg (4 Numbers)",42,504,50
35,"7/27/99",1,131111,6,"Other agri product (Kg)",1.79769313486232e+308,500,75
36,"7/27/99",1,131211,5,"Egg (4 Numbers)",10,120,1.79769313486232e+308
37,"7/27/99",1,131211,6,"Other agri product (Kg)",1.79769313486232e+308,1150,150
71,"6/18/99",1,210131,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
85,"6/18/99",1,210141,1,"Tress (number)",1,300,1.79769313486232e+308
86,"6/18/99",1,210141,5,"Egg (4 Numbers)",4,48,1.79769313486232e+308
92,"6/18/99",1,210151,5,"Egg (4 Numbers)",7,70,15
72,"6/18/99",1,210231,1,"Tress (number)",2,7000,98
73,"6/18/99",1,210231,2,"Fruit (Kg)",3,36,1.79769313486232e+308
87,"6/18/99",1,210241,1,"Tress (number)",2,1080,7
93,"6/18/99",1,210251,5,"Egg (4 Numbers)",20,160,15
74,"6/18/99",1,210331,5,"Egg (4 Numbers)",4,44,7
75,"6/18/99",1,210332,5,"Egg (4 Numbers)",15,120,15
88,"6/18/99",1,210341,5,"Egg (4 Numbers)",80,800,1.79769313486232e+308
94,"6/18/99",1,210351,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
76,"6/18/99",1,210411,5,"Egg (4 Numbers)",15,150,25
89,"6/18/99",1,210441,1,"Tress (number)",2,270,1.79769313486232e+308
90,"6/18/99",1,210441,5,"Egg (4 Numbers)",6,72,15
95,"6/18/99",1,210459,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
77,"6/18/99",1,210511,5,"Egg (4 Numbers)",6,60,1.79769313486232e+308
91,"6/18/99",1,210541,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
78,"6/18/99",1,210611,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
79,"6/18/99",1,210731,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
80,"6/18/99",1,210811,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
81,"6/18/99",1,210931,5,"Egg (4 Numbers)",15,150,1.79769313486232e+308
82,"6/18/99",1,211031,1,"Tress (number)",2,8000,37
83,"6/18/99",1,211131,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
84,"6/18/99",1,211231,6,"others agri",400,1700,200
34,"7/29/99",1,220111,5,"Egg (4 Numbers)",5,50,1.79769313486232e+308
48,"8/04/99",1,220141,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
53,"8/04/99",1,220151,5,"Egg (4 Numbers)",20,200,10
35,"8/04/99",1,220211,5,"Egg (4 Numbers)",37.5,300,8
49,"8/04/99",1,220241,1,"Tress (number)",2,450,1.79769313486232e+308
54,"8/04/99",1,220251,5,"Egg (4 Numbers)",18,180,1.79769313486232e+308
36,"8/04/99",1,220311,5,"Egg (4 Numbers)",3,30,1.79769313486232e+308
50,"8/04/99",1,220341,5,"Egg (4 Numbers)",7,70,1.79769313486232e+308
55,"8/04/99",1,220351,4,"Milk (Litre)",100,1000,1.79769313486232e+308
56,"8/04/99",1,220351,5,"Egg (4 Numbers)",7,70,1.79769313486232e+308
37,"8/04/99",1,220411,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
38,"8/04/99",1,220412,5,"Egg (4 Numbers)",12,120,1.79769313486232e+308
51,"8/04/99",1,220441,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
57,"8/04/99",1,220459,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
39,"8/04/99",1,220511,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
52,"8/04/99",1,220541,1,"Tress (number)",2,1100,18
40,"8/04/99",1,220611,1,"Tress (number)",5,1000,1.79769313486232e+308
41,"8/04/99",1,220611,5,"Egg (4 Numbers)",5,40,1.79769313486232e+308
42,"8/04/99",1,220711,5,"Egg (4 Numbers)",8,80,1.79769313486232e+308
43,"8/04/99",1,220911,5,"Egg (4 Numbers)",10,100,1.79769313486232e+308
44,"8/04/99",1,221011,5,"Egg (4 Numbers)",8,80,1.79769313486232e+308
45,"8/04/99",1,221111,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
46,"8/04/99",1,221112,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
47,"8/04/99",1,221211,5,"Egg (4 Numbers)",7,70,1.79769313486232e+308
294,"6/17/99",1,230111,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
311,"6/17/99",1,230141,5,"Egg (4 Numbers)",15,150,18
315,"6/17/99",1,230151,5,"Egg (4 Numbers)",20,200,10
316,"6/17/99",1,230152,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
295,"6/17/99",1,230211,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
312,"6/17/99",1,230241,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
317,"6/17/99",1,230251,5,"Egg (4 Numbers)",35,350,125
