"hhcode","casenum","date","weight_","pid","respid","s9_4q3a","s9_4q3b","s9_4q4","s9_4q5","s9_4q6"
210541,55,"6/18/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
210611,44,"6/18/99",1,2,2,700,0,500,3000,3500
210731,45,"6/18/99",1,2,1,925,0,5925,5000,5925
210811,46,"6/18/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
210931,47,"6/18/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
211031,48,"6/18/99",1,2,2,300,0,256,0,300
211131,49,"6/18/99",1,2,2,300,0,300,0,300
211231,50,"6/18/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220111,26,"7/29/99",1,3,3,500,0,500,0,0
220141,39,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220151,44,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220211,27,"8/04/99",1,2,2,1535,0,365,0,1535
220241,40,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220251,45,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220311,28,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220341,41,"8/04/99",1,2,2,820,0,820,0,820
220351,46,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220411,29,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220412,30,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220441,42,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220459,47,"8/04/99",1,1,1,700,0,0,0,0
220511,31,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220541,43,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
220611,32,"8/04/99",1,2,2,75,0,75,0,75
220711,33,"8/04/99",1,2,2,75,0,75,0,75
220911,34,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
221011,35,"8/04/99",1,1,1,4139,0,680,0,4139
221111,36,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
221112,37,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
221211,38,"8/04/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230111,175,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230141,188,"6/19/99",1,2,2,40,0,40,0,40
230151,192,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230152,193,"6/19/99",1,1,1,600,0,200,0,0
230211,176,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230241,189,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230251,194,"6/19/99",1,1,1,10000,0,2400,4000,0
230311,177,"6/19/99",1,2,2,200,0,200,0,200
230351,195,"6/19/99",1,2,2,700,0,700,0,700
230352,196,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230411,178,"6/19/99",1,2,2,2335,0,1050,0,2335
230441,190,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230459,197,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230511,179,"6/19/99",1,2,2,30,0,30,0,0
230541,191,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230611,180,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230612,181,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
230711,182,"6/19/99",1,2,2,4553,0,1200,0,4553
230811,183,"6/19/99",1,2,2,4880,0,800,0,4880
231011,184,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
231111,185,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
231211,186,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
231212,187,"6/19/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
240119,150,"9/06/99",1,1,1,2985,0,270,0,2985
240149,160,"9/08/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
240159,165,"9/08/99",1,2,2,700,0,200,0,700
240219,151,"9/08/99",1,1,1,2362,0,262,0,2362
240249,161,"9/08/99",1,1,2,650,0,150,0,650
240259,166,"9/08/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
240319,152,"9/08/99",1,2,2,1699,0,365,0,1699
240349,162,"9/08/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
240359,167,"9/08/99",1,2,2,1350,0,0,240,1350
240419,153,"9/08/99",1,2,2,2890,0,385,0,2890
240449,163,"9/08/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
240459,168,"9/08/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
240519,154,"9/08/99",1,1,1,2500,0,465,0,2500
240549,164,"9/08/99",1,2,2,700,0,0,200,700
240559,169,"9/08/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
240619,155,"9/08/99",1,2,2,1453,0,451,0,1453
240719,156,"9/08/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
240819,157,"9/08/99",1,1,1,4037,0,505,0,4037
240919,158,"9/08/99",1,3,3,3226,0,485,0,3226
241019,159,"9/08/99",1,2,2,1228,0,278,0,1228
310111,241,"6/22/99",1,3,2,8000,0,8000,0,0
310141,255,"6/26/99",1,3,2,12000,0,4000,0,0
310151,259,"6/26/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
310211,242,"6/26/99",1,3,2,2000,0,3700,1700,0
310241,256,"6/26/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
310251,260,"6/26/99",1,2,2,480,0,240,0,480
310311,243,"6/26/99",1,3,3,720,0,260,0,720
310311,244,"6/26/99",1,5,2,1792,0,1792,0,0
310351,261,"6/26/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
310441,257,"6/26/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
310459,263,"6/26/99",1,1,2,2800,0,2400,0,0
310459,262,"6/26/99",1,2,2,34000,0,3600,0,0
310511,245,"6/26/99",1,6,5,2400,0,1200,0,0
310541,79,"9/11/99",1,1,1,2000,0,1000,0,0
310611,247,"6/26/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
310641,258,"6/26/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
310711,248,"6/26/99",1,1,1,2070,0,230,0,2070
310811,249,"6/26/99",1,1,1,2400,0,240,0,2400
310911,250,"6/26/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
311011,251,"6/26/99",1,2,2,2160,0,240,0,2160
311111,252,"6/26/99",1,6,6,2000,0,0,0,0
311211,253,"6/26/99",1,1,1,8000,0,3000,0,2400
311411,254,"6/26/99",1,1,1,2070,0,230,0,2070
320111,1,"7/07/99",1,1,1,6000,0,2400,0,0
320141,18,"7/13/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
320142,19,"7/13/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
320151,30,"7/13/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
320152,31,"7/13/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
320153,32,"7/13/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
320154,34,"7/13/99",1,1,1,25200,0,13200,0,0
320211,2,"7/13/99",1,6,6,4000,0,600,0,4000
320241,20,"7/13/99",1,2,2,5500,0,1825,0,5500
320251,35,"7/13/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
320311,3,"7/13/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
320341,21,"7/13/99",1,5,1,794,0,770,0,794
320411,4,"7/13/99",1,2,2,2153,0,650,0,2153
320441,22,"7/13/99",1,2,2,980,0,230,0,980
320442,23,"7/13/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
320443,24,"7/13/99",1,1,1,1500,0,1200,0,0
320443,25,"7/13/99",1,2,2,1486,0,604,0,1486
320459,36,"7/13/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
320511,5,"7/13/99",1,2,2,2930,0,610,0,2930
320541,26,"7/13/99",1,1,1,300000,0,50000,0,0
320541,27,"7/13/99",1,2,1,150000,0,25000,0,0
320541,28,"7/13/99",1,4,1,10400,0,3600,0,0
320611,7,"7/13/99",1,2,2,182,0,182,0,182
320641,29,"7/13/99",1,1,1,24000,0,6000,0,0
320711,8,"7/13/99",1,5,5,4556,0,4630,0,4556
321011,10,"7/13/99",1,2,2,2415,0,230,0,2415
321111,11,"7/13/99",1,2,2,4747,0,230,0,4747
321111,12,"7/13/99",1,3,3,2744,0,230,0,2744
321211,13,"7/13/99",1,1,1,3473,0,260,0,3473
321212,14,"7/13/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
321311,15,"7/13/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
321411,16,"7/13/99",1,1,1,10000,0,0,42000,0
321412,17,"7/13/99",1,2,2,1092,0,407,0,1092
330111,1,"8/14/99",1,2,2,588,0,542,0,588
330141,14,"8/16/99",1,2,2,690,0,230,0,690
330151,19,"8/16/99",1,3,3,2400,0,2400,0,0
330151,20,"8/16/99",1,8,8,16200,0,10800,0,0
330211,2,"8/16/99",1,4,4,310,0,310,0,310
330241,15,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
330251,21,"8/16/99",1,5,5,14000,0,7000,0,0
330341,16,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
330411,3,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
330459,22,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
330511,4,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
330541,17,"8/16/99",1,2,2,3032,0,1164,2000,3032
330611,5,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
330641,18,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
330731,6,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
330811,7,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
330911,8,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
331111,9,"8/16/99",1,1,1,2400,0,170,0,2400
331211,10,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
331311,11,"8/16/99",1,2,2,1120,0,240,0,1120
331411,12,"8/16/99",1,2,2,690,0,230,0,690
331412,13,"8/16/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
410111,90,"6/26/99",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308
410141,113,"6/28/99",1,1,1,500,0,0,0,0
410141,114,"6/28/99",1,3,1,1000,1000,500,0,0
410141,115,"6/28/99",1,5,1,5000,3000,0,6000,0
410151,126,"6/28/99",1,1,1,4000,0,1500,0,3000
410151,127,"6/28/99",1,2,2,60,0,120,60,60
410211,91,"6/26/99",1,1,2,500,0,1500,1000,0
410211,92,"6/26/99",1,2,2,250,0,250,100,150
410241,116,"6/28/99",1,2,2,500,0,500,0,0
410251,128,"6/28/99",1,1,1,1000,10000,5000,10000,1000
