"casenum","date","weight_","hhcode","misc","miscde","s7_6q2","s7_6q3","s7_6q4"
286,"6/05/99",1,110311,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
287,"6/05/99",1,110311,5,"Fodder",3,1.79769313486232e+308,1.79769313486232e+308
288,"6/05/99",1,110311,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
361,"6/05/99",1,110341,1,"Fuel",1,4,1800
362,"6/05/99",1,110341,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
363,"6/05/99",1,110341,3,"Vegetables",1,3,500
364,"6/05/99",1,110341,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
365,"6/05/99",1,110341,5,"Fodder",3,1.79769313486232e+308,1.79769313486232e+308
366,"6/05/99",1,110341,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
397,"6/05/99",1,110351,1,"Fuel",1,6,1000
398,"6/05/99",1,110351,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
399,"6/05/99",1,110351,3,"Vegetables",3,1.79769313486232e+308,1.79769313486232e+308
400,"6/05/99",1,110351,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
401,"6/05/99",1,110351,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
402,"6/05/99",1,110351,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
403,"6/05/99",1,110352,1,"Fuel",1,6,700
404,"6/05/99",1,110352,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
405,"6/05/99",1,110352,3,"Vegetables",1,3,250
406,"6/05/99",1,110352,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
407,"6/05/99",1,110352,5,"Fodder",1,3,500
408,"6/05/99",1,110352,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
289,"6/05/99",1,110411,1,"Fuel",3,1.79769313486232e+308,1.79769313486232e+308
290,"6/05/99",1,110411,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
291,"6/05/99",1,110411,3,"Vegetables",3,1.79769313486232e+308,1.79769313486232e+308
292,"6/05/99",1,110411,4,"Fish",1,5,3500
293,"6/05/99",1,110411,5,"Fodder",1,3,1500
294,"6/05/99",1,110411,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
367,"6/05/99",1,110441,1,"Fuel",1,4,600
368,"6/05/99",1,110441,2,"House construction materi",1,2,250
369,"6/05/99",1,110441,3,"Vegetables",1,3,200
370,"6/05/99",1,110441,4,"Fish",1,5,350
371,"6/05/99",1,110441,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
372,"6/05/99",1,110441,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
409,"6/05/99",1,110459,1,"Fuel",1,6,1200
410,"6/05/99",1,110459,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
411,"6/05/99",1,110459,3,"Vegetables",3,1.79769313486232e+308,1.79769313486232e+308
412,"6/05/99",1,110459,4,"Fish",1,5,300
413,"6/05/99",1,110459,5,"Fodder",1,3,900
414,"6/05/99",1,110459,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
295,"6/05/99",1,110511,1,"Fuel",1,6,1500
296,"6/05/99",1,110511,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
297,"6/05/99",1,110511,3,"Vegetables",1,3,300
298,"6/05/99",1,110511,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
299,"6/05/99",1,110511,5,"Fodder",1,3,2000
300,"6/05/99",1,110511,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
373,"6/05/99",1,110541,1,"Fuel",1,4,1300
374,"6/05/99",1,110541,2,"House construction materi",1,4,1000
375,"6/05/99",1,110541,3,"Vegetables",1,3,400
376,"6/05/99",1,110541,4,"Fish",1,5,1250
377,"6/05/99",1,110541,5,"Fodder",1,3,500
378,"6/05/99",1,110541,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
379,"6/05/99",1,110542,1,"Fuel",1,6,900
380,"6/05/99",1,110542,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
381,"6/05/99",1,110542,3,"Vegetables",2,1.79769313486232e+308,1.79769313486232e+308
382,"6/05/99",1,110542,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
383,"6/05/99",1,110542,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
384,"6/05/99",1,110542,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
301,"6/05/99",1,110611,1,"Fuel",1,6,1000
302,"6/05/99",1,110611,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
303,"6/05/99",1,110611,3,"Vegetables",1,3,300
304,"6/05/99",1,110611,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
305,"6/05/99",1,110611,5,"Fodder",1,3,750
306,"6/05/99",1,110611,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
307,"6/05/99",1,110612,1,"Fuel",1,6,850
308,"6/05/99",1,110612,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
309,"6/05/99",1,110612,3,"Vegetables",1,3,150
310,"6/05/99",1,110612,4,"Fish",1,5,1250
311,"6/05/99",1,110612,5,"Fodder",1,3,325
312,"6/05/99",1,110612,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
313,"6/05/99",1,110711,1,"Fuel",1,3,1500
314,"6/05/99",1,110711,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
315,"6/05/99",1,110711,3,"Vegetables",1,3,500
316,"6/05/99",1,110711,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
317,"6/05/99",1,110711,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
318,"6/05/99",1,110711,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
319,"6/05/99",1,110811,1,"Fuel",1,6,2000
320,"6/05/99",1,110811,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
321,"6/05/99",1,110811,3,"Vegetables",1,3,200
322,"6/05/99",1,110811,4,"Fish",1,5,1000
323,"6/05/99",1,110811,5,"Fodder",1,3,2000
324,"6/05/99",1,110811,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
325,"6/05/99",1,110911,1,"Fuel",1,4,1500
326,"6/05/99",1,110911,2,"House construction materi",1,2,300
327,"6/05/99",1,110911,3,"Vegetables",1,2,350
328,"6/05/99",1,110911,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
329,"6/05/99",1,110911,5,"Fodder",3,1.79769313486232e+308,1.79769313486232e+308
330,"6/05/99",1,110911,6,"Crops collected",1,3,320
331,"6/05/99",1,111011,1,"Fuel",1,6,1000
332,"6/05/99",1,111011,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
333,"6/05/99",1,111011,3,"Vegetables",1,3,350
334,"6/05/99",1,111011,4,"Fish",1,5,1800
335,"6/05/99",1,111011,5,"Fodder",1,3,2000
336,"6/05/99",1,111011,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
337,"6/05/99",1,111111,1,"Fuel",1,4,1500
338,"6/05/99",1,111111,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
339,"6/05/99",1,111111,3,"Vegetables",1,3,200
340,"6/05/99",1,111111,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
341,"6/05/99",1,111111,5,"Fodder",3,1.79769313486232e+308,1.79769313486232e+308
342,"6/05/99",1,111111,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
343,"6/05/99",1,111211,1,"Fuel",1,4,2500
344,"6/05/99",1,111211,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
345,"6/05/99",1,111211,3,"Vegetables",1,3,450
346,"6/05/99",1,111211,4,"Fish",1,5,1200
347,"6/05/99",1,111211,5,"Fodder",1,3,2000
348,"6/05/99",1,111211,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
163,"7/22/99",1,120111,1,"Fuel",1,6,600
164,"7/22/99",1,120111,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
165,"7/22/99",1,120111,3,"Vegetables",1,3,250
166,"7/22/99",1,120111,4,"Fish",1,5,400
167,"7/22/99",1,120111,5,"Fodder",1,3,850
168,"7/22/99",1,120111,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
241,"7/22/99",1,120141,1,"Fuel",1,6,600
242,"7/22/99",1,120141,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
243,"7/22/99",1,120141,3,"Vegetables",1,3,150
244,"7/22/99",1,120141,4,"Fish",1,5,700
245,"7/22/99",1,120141,5,"Fodder",1,3,2800
246,"7/22/99",1,120141,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
271,"7/22/99",1,120151,1,"Fuel",1,6,600
272,"7/22/99",1,120151,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
273,"7/22/99",1,120151,3,"Vegetables",1,3,175
274,"7/22/99",1,120151,4,"Fish",1,5,2500
275,"7/22/99",1,120151,5,"Fodder",1,3,3600
276,"7/22/99",1,120151,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
277,"7/22/99",1,120152,1,"Fuel",1,6,1000
278,"7/22/99",1,120152,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
279,"7/22/99",1,120152,3,"Vegetables",1,3,200
280,"7/22/99",1,120152,4,"Fish",1,5,2500
281,"7/22/99",1,120152,5,"Fodder",1,3,3000
282,"7/22/99",1,120152,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
169,"7/22/99",1,120211,1,"Fuel",1,6,750
170,"7/22/99",1,120211,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
171,"7/22/99",1,120211,3,"Vegetables",1,3,200
172,"7/22/99",1,120211,4,"Fish",1,5,1200
173,"7/22/99",1,120211,5,"Fodder",3,1.79769313486232e+308,1.79769313486232e+308
174,"7/22/99",1,120211,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
175,"7/22/99",1,120212,1,"Fuel",1,6,750
176,"7/22/99",1,120212,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
177,"7/22/99",1,120212,3,"Vegetables",1,3,350
178,"7/22/99",1,120212,4,"Fish",1,5,300
179,"7/22/99",1,120212,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
180,"7/22/99",1,120212,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
247,"7/22/99",1,120241,1,"Fuel",1,6,1500
248,"7/22/99",1,120241,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
249,"7/22/99",1,120241,3,"Vegetables",1,3,200
250,"7/22/99",1,120241,4,"Fish",1,5,2500
251,"7/22/99",1,120241,5,"Fodder",1,3,5000
252,"7/22/99",1,120241,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
253,"7/22/99",1,120242,1,"Fuel",1,6,800
254,"7/22/99",1,120242,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
255,"7/22/99",1,120242,3,"Vegetables",1,3,120
256,"7/22/99",1,120242,4,"Fish",1,5,1000
257,"7/22/99",1,120242,5,"Fodder",1,3,3500
258,"7/22/99",1,120242,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
283,"7/22/99",1,120251,1,"Fuel",2,1.79769313486232e+308,1.79769313486232e+308
284,"7/22/99",1,120251,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
285,"7/22/99",1,120251,3,"Vegetables",2,1.79769313486232e+308,1.79769313486232e+308
286,"7/22/99",1,120251,4,"Fish",1,5,2500
287,"7/22/99",1,120251,5,"Fodder",1,3,3500
288,"7/22/99",1,120251,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
289,"7/22/99",1,120351,1,"Fuel",1,3,500
290,"7/22/99",1,120351,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
291,"7/22/99",1,120351,3,"Vegetables",1,3,150
292,"7/22/99",1,120351,4,"Fish",1,5,200
293,"7/22/99",1,120351,5,"Fodder",3,1.79769313486232e+308,1.79769313486232e+308
294,"7/22/99",1,120351,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
181,"7/22/99",1,120411,1,"Fuel",1,6,50
182,"7/22/99",1,120411,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
183,"7/22/99",1,120411,3,"Vegetables",1,6,300
184,"7/22/99",1,120411,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
185,"7/22/99",1,120411,5,"Fodder",1,3,3000
186,"7/22/99",1,120411,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
259,"7/22/99",1,120441,1,"Fuel",1,4,900
260,"7/22/99",1,120441,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
261,"7/22/99",1,120441,3,"Vegetables",1,3,300
262,"7/22/99",1,120441,4,"Fish",1,5,400
263,"7/22/99",1,120441,5,"Fodder",1,3,2000
264,"7/22/99",1,120441,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
295,"7/22/99",1,120459,1,"Fuel",1,6,850
296,"7/22/99",1,120459,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
297,"7/22/99",1,120459,3,"Vegetables",1,3,300
298,"7/22/99",1,120459,4,"Fish",1,5,3500
299,"7/22/99",1,120459,5,"Fodder",1,3,3500
300,"7/22/99",1,120459,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
187,"7/22/99",1,120511,1,"Fuel",1,3,800
188,"7/22/99",1,120511,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
189,"7/22/99",1,120511,3,"Vegetables",1,3,200
190,"7/22/99",1,120511,4,"Fish",1,5,1500
191,"7/22/99",1,120511,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
192,"7/22/99",1,120511,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
199,"7/22/99",1,120512,1,"Fuel",1,4,1000
200,"7/22/99",1,120512,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
201,"7/22/99",1,120512,3,"Vegetables",1,3,250
202,"7/22/99",1,120512,4,"Fish",1,5,500
203,"7/22/99",1,120512,5,"Fodder",3,1.79769313486232e+308,1.79769313486232e+308
204,"7/22/99",1,120512,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
265,"7/22/99",1,120541,1,"Fuel",1,6,400
266,"7/22/99",1,120541,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
267,"7/22/99",1,120541,3,"Vegetables",1,3,200
268,"7/22/99",1,120541,4,"Fish",1,5,1500
269,"7/22/99",1,120541,5,"Fodder",1,3,2000
270,"7/22/99",1,120541,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
193,"7/22/99",1,120611,1,"Fuel",1,6,1200
194,"7/22/99",1,120611,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
195,"7/22/99",1,120611,3,"Vegetables",1,3,150
196,"7/22/99",1,120611,4,"Fish",1,5,1500
197,"7/22/99",1,120611,5,"Fodder",1,3,1500
198,"7/22/99",1,120611,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
205,"7/22/99",1,120711,1,"Fuel",1,4,1500
206,"7/22/99",1,120711,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
207,"7/22/99",1,120711,3,"Vegetables",1,3,300
208,"7/22/99",1,120711,4,"Fish",1,5,5000
209,"7/22/99",1,120711,5,"Fodder",1,3,2500
210,"7/22/99",1,120711,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
211,"7/22/99",1,120811,1,"Fuel",1,6,500
212,"7/22/99",1,120811,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
213,"7/22/99",1,120811,3,"Vegetables",1,3,200
214,"7/22/99",1,120811,4,"Fish",1,5,1000
215,"7/22/99",1,120811,5,"Fodder",1,3,2000
216,"7/22/99",1,120811,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
217,"7/22/99",1,120911,1,"Fuel",1,4,700
218,"7/22/99",1,120911,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
219,"7/22/99",1,120911,3,"Vegetables",1,3,100
220,"7/22/99",1,120911,4,"Fish",1,5,2500
221,"7/22/99",1,120911,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
222,"7/22/99",1,120911,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
223,"7/22/99",1,121011,1,"Fuel",1,6,800
224,"7/22/99",1,121011,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
225,"7/22/99",1,121011,3,"Vegetables",1,3,150
226,"7/22/99",1,121011,4,"Fish",1,5,400
227,"7/22/99",1,121011,5,"Fodder",1,3,2000
228,"7/22/99",1,121011,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
229,"7/22/99",1,121111,1,"Fuel",1,6,1800
230,"7/22/99",1,121111,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
231,"7/22/99",1,121111,3,"Vegetables",1,3,200
232,"7/22/99",1,121111,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
233,"7/22/99",1,121111,5,"Fodder",1,3,500
234,"7/22/99",1,121111,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
235,"7/22/99",1,121211,1,"Fuel",1,3,1500
236,"7/22/99",1,121211,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
237,"7/22/99",1,121211,3,"Vegetables",1,3,800
238,"7/22/99",1,121211,4,"Fish",1,5,1500
239,"7/22/99",1,121211,5,"Fodder",1,3,2500
240,"7/22/99",1,121211,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
78,"8/8/95",1,130141,1,"Fuel",1,6,1100
79,"8/8/95",1,130141,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
80,"8/8/95",1,130141,3,"Vegetables",1,3,300
81,"8/8/95",1,130141,4,"Fish",1,5,1200
82,"8/8/95",1,130141,5,"Fodder",1,3,600
83,"8/8/95",1,130141,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
108,"8/8/95",1,130151,1,"Fuel",1,6,1000
109,"8/8/95",1,130151,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
110,"8/8/95",1,130151,3,"Vegetables",1,3,200
111,"8/8/95",1,130151,4,"Fish",1,5,500
112,"8/8/95",1,130151,5,"Fodder",1,3,300
113,"8/8/95",1,130151,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
12,"8/8/95",1,130211,1,"Fuel",1,4,800
13,"8/8/95",1,130211,2,"House construction materi",3,1.79769313486232e+308,1.79769313486232e+308
14,"8/8/95",1,130211,3,"Vegetables",1,3,150
15,"8/8/95",1,130211,4,"Fish",1,5,1200
16,"8/8/95",1,130211,5,"Fodder",3,1.79769313486232e+308,1.79769313486232e+308
17,"8/8/95",1,130211,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
84,"8/8/95",1,130241,1,"Fuel",1,6,600
85,"8/8/95",1,130241,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
86,"8/8/95",1,130241,3,"Vegetables",1,3,225
87,"8/8/95",1,130241,4,"Fish",1,5,2000
88,"8/8/95",1,130241,5,"Fodder",1,3,3000
89,"8/8/95",1,130241,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
114,"8/8/95",1,130251,1,"Fuel",1,6,1200
115,"8/8/95",1,130251,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
116,"8/8/95",1,130251,3,"Vegetables",1,3,175
117,"8/8/95",1,130251,4,"Fish",1,5,2350
118,"8/8/95",1,130251,5,"Fodder",1,3,4200
119,"8/8/95",1,130251,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
18,"8/8/95",1,130311,1,"Fuel",1,6,800
19,"8/8/95",1,130311,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
20,"8/8/95",1,130311,3,"Vegetables",1,3,250
21,"8/8/95",1,130311,4,"Fish",1,5,751
22,"8/8/95",1,130311,5,"Fodder",1,3,3500
23,"8/8/95",1,130311,6,"Crops collected",3,1.79769313486232e+308,1.79769313486232e+308
120,"8/8/95",1,130351,1,"Fuel",1,4,1200
121,"8/8/95",1,130351,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
122,"8/8/95",1,130351,3,"Vegetables",1,3,300
123,"8/8/95",1,130351,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
124,"8/8/95",1,130351,5,"Fodder",1,3,400
125,"8/8/95",1,130351,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
126,"8/8/95",1,130352,1,"Fuel",1,4,1000
127,"8/8/95",1,130352,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
128,"8/8/95",1,130352,3,"Vegetables",1,3,280
129,"8/8/95",1,130352,4,"Fish",1,5,1500
130,"8/8/95",1,130352,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
131,"8/8/95",1,130352,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
132,"8/8/95",1,130353,1,"Fuel",1,4,1200
133,"8/8/95",1,130353,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
134,"8/8/95",1,130353,3,"Vegetables",1,3,200
135,"8/8/95",1,130353,4,"Fish",1,5,1000
136,"8/8/95",1,130353,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
137,"8/8/95",1,130353,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
138,"8/8/95",1,130354,1,"Fuel",1,4,1200
139,"8/8/95",1,130354,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
140,"8/8/95",1,130354,3,"Vegetables",1,3,250
141,"8/8/95",1,130354,4,"Fish",1,5,2000
142,"8/8/95",1,130354,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
143,"8/8/95",1,130354,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
144,"8/8/95",1,130355,1,"Fuel",1,3,1000
145,"8/8/95",1,130355,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
146,"8/8/95",1,130355,3,"Vegetables",1,1.79769313486232e+308,350
147,"8/8/95",1,130355,4,"Fish",1,5,300
148,"8/8/95",1,130355,5,"Fodder",1,3,3000
149,"8/8/95",1,130355,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
24,"8/8/95",1,130411,1,"Fuel",1,6,1000
25,"8/8/95",1,130411,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
26,"8/8/95",1,130411,3,"Vegetables",1,3,200
27,"8/8/95",1,130411,4,"Fish",2,1.79769313486232e+308,1.79769313486232e+308
28,"8/8/95",1,130411,5,"Fodder",1,3,2000
29,"8/8/95",1,130411,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
90,"8/8/95",1,130441,1,"Fuel",1,6,1000
91,"8/8/95",1,130441,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
92,"8/8/95",1,130441,3,"Vegetables",1,3,250
93,"8/8/95",1,130441,4,"Fish",1,5,350
94,"8/8/95",1,130441,5,"Fodder",1,3,3000
95,"8/8/95",1,130441,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
150,"8/8/95",1,130459,1,"Fuel",1,4,1200
151,"8/8/95",1,130459,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
152,"8/8/95",1,130459,3,"Vegetables",1,3,300
153,"8/8/95",1,130459,4,"Fish",1,5,725
154,"8/8/95",1,130459,5,"Fodder",1,3,500
155,"8/8/95",1,130459,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
96,"8/8/95",1,130541,1,"Fuel",1,6,800
97,"8/8/95",1,130541,2,"House construction materi",2,1.79769313486232e+308,1.79769313486232e+308
98,"8/8/95",1,130541,3,"Vegetables",1,3,200
99,"8/8/95",1,130541,4,"Fish",1,5,350
100,"8/8/95",1,130541,5,"Fodder",2,1.79769313486232e+308,1.79769313486232e+308
101,"8/8/95",1,130541,6,"Crops collected",2,1.79769313486232e+308,1.79769313486232e+308
102,"8/8/95",1,130542,1,"Fuel",1,6,450
103,"8/8/95",1,130542,2,"House construction materi",1,2,150
104,"8/8/95",1,130542,3,"Vegetables",1,3,175
